feature	FTA-10_1	FTA-1_1	FTA-11_1	FTA-12_1	FTA-13_1	FTA-14_1	FTA-15_1	FTA-16_1	FTA-17_1	FTA-18_1	FTA-19_1	FTA-20_1	FTA-2_1	FTA-23_1	FTA-24_1	FTA-3_1	FTA-4_1	FTA-5_1	FTA-6_1	FTA-9_1	FTC-10_1	FTC-1_1	FTC-11_1	FTC-12_1	FTC-13_1	FTC-14_1	FTC-15_1	FTC-16_1	FTC-17_1	FTC-18_1	FTC-19_1	FTC-20_1	FTC-2_1	FTC-21_1	FTC-22_1	FTC-3_1	FTC-4_1	FTC-5_1	FTC-6_1	FTC-7_1	FTC-8_1
13027_20_72_+|genomic|13027_20_72_+|peak_19|13027|20|72	48	152	148	192	177	146	56	116	49	89	49	25	112	22	23	33	93	79	165	42	83	31	88	32	170	71	49	39	33	30	43	66	164	48	31	185	53	115	71	72	75
13029_40_72_+|genomic|13029_40_72_+|peak_20|13029|40|72	10	6	10	22	12	5	23	15	3	8	33	15	14	22	24	2	3	38	15	3	13	17	2	15	14	4	7	20	18	19	21	18	58	27	17	32	19	0	18	11	10
13031_40_80_+|genomic|13031_40_80_+|peak_21|13031|40|80	16	33	23	32	26	40	26	28	9	24	18	18	48	22	30	7	41	60	69	11	26	42	18	9	20	20	17	23	21	27	24	16	104	26	27	75	25	112	14	15	12
13035_0_60_+|genomic|13035_0_60_+|peak_22|13035|0|60	24	44	46	38	48	74	22	107	20	47	41	36	31	43	56	65	66	34	51	15	301	49	75	17	35	67	156	49	78	51	45	21	87	57	39	81	54	46	35	31	24
13040_20_60_+|genomic|13040_20_60_+|peak_23|13040|20|60	8	10	14	18	10	18	4	14	3	13	7	3	22	6	2	6	13	12	23	4	27	4	13	0	5	8	10	6	6	4	6	4	38	6	4	32	10	13	8	12	7
19359_0_40_+|genomic|19359_0_40_+|peak_24|19359|0|40	26	32	15	31	15	11	31	21	3	26	13	11	12	15	20	4	18	13	30	8	39	19	6	4	3	19	2	17	9	14	21	32	49	14	17	27	16	32	7	18	11
19697_40_73_+|genomic|19697_40_73_+|peak_25|19697|40|73	17	14	14	11	6	16	9	17	4	10	22	35	29	37	41	10	6	39	48	6	5	50	2	15	8	3	2	49	46	39	45	6	21	61	37	25	47	25	5	4	3
20044_0_40_+|genomic|20044_0_40_+|peak_26|20044|0|40	0	10	39	29	43	33	4	27	17	8	6	0	9	1	2	2	0	6	7	12	27	8	26	15	9	7	3	5	2	4	6	9	34	5	2	33	4	7	15	24	7
20137_0_40_+|genomic|20137_0_40_+|peak_27|20137|0|40	14	56	48	49	24	33	29	34	24	44	27	17	29	23	32	13	37	71	52	10	15	20	16	10	14	8	15	23	29	21	30	19	116	30	19	56	29	52	18	38	34
20271_0_40_+|genomic|20271_0_40_+|peak_28|20271|0|40	28	48	28	89	41	26	32	30	9	33	40	16	18	12	21	16	32	98	225	34	31	26	8	7	14	33	27	34	16	25	33	28	167	42	11	76	24	71	21	29	36
20274_0_71_+|genomic|20274_0_71_+|peak_29|20274|0|71	98	255	564	378	899	780	104	340	221	183	244	46	259	53	61	174	190	133	143	239	538	62	393	181	219	347	290	62	69	76	99	186	416	99	35	340	75	396	281	441	187
20276_0_40_+|genomic|20276_0_40_+|peak_30|20276|0|40	21	60	58	50	20	36	19	31	22	49	23	15	31	21	28	15	28	65	43	14	19	28	19	15	13	6	11	13	19	19	34	20	127	30	11	44	26	56	20	44	39
20279_20_60_+|genomic|20279_20_60_+|peak_31|20279|20|60	5	24	11	13	27	30	6	29	5	9	9	1	13	3	6	7	18	21	15	9	44	4	22	7	10	13	12	5	4	6	5	14	202	8	4	28	7	37	9	9	7
20284_0_72_+|genomic|20284_0_72_+|peak_32|20284|0|72	72	227	220	255	5612	210	82	201	90	126	209	58	115	59	100	53	139	245	341	53	109	77	116	127	148	70	73	81	66	75	126	103	314	115	67	343	99	212	101	178	80
20287_0_40_+|genomic|20287_0_40_+|peak_33|20287|0|40	12	17	21	6	279	9	1	3	13	1	28	21	11	24	19	0	6	40	30	4	4	25	8	49	4	5	4	26	22	31	25	2	36	37	27	28	23	10	2	9	3
20287_60_80_+|genomic|20287_60_80_+|peak_34|20287|60|80	8	11	10	7	18	7	4	4	0	10	6	7	2	6	7	1	7	17	31	2	3	4	5	2	1	5	0	5	3	3	4	6	29	6	4	21	4	23	7	12	4
20561_20_60_+|genomic|20561_20_60_+|peak_35|20561|20|60	18	15	26	10	11	12	8	11	12	4	45	39	14	43	60	8	16	93	102	6	5	46	6	35	8	5	4	48	46	48	53	3	25	54	44	35	52	24	2	1	4
20645_40_71_+|genomic|20645_40_71_+|peak_36|20645|40|71	30	32	62	15	20	31	22	39	3	16	7	5	11	5	14	10	15	29	29	5	11	11	1	9	4	2	19	12	6	9	12	16	88	13	3	39	14	13	7	4	5
20647_0_71_+|genomic|20647_0_71_+|peak_37|20647|0|71	86	106	294	204	360	250	106	191	75	100	100	24	78	17	35	104	66	60	119	103	105	40	81	83	56	67	60	34	39	44	52	86	347	65	31	198	52	240	127	231	83
20648_0_40_+|genomic|20648_0_40_+|peak_38|20648|0|40	7	33	57	61	51	67	14	45	27	11	15	5	14	6	1	14	27	8	31	7	38	5	32	17	23	8	3	4	5	3	11	16	43	4	1	50	4	25	17	34	17
20653_0_71_+|genomic|20653_0_71_+|peak_39|20653|0|71	59	74	76	32	37	64	80	63	11	53	13	15	40	21	27	25	19	52	94	20	28	19	7	19	15	11	30	23	26	26	25	37	195	38	30	116	21	64	30	23	22
20655_0_71_+|genomic|20655_0_71_+|peak_40|20655|0|71	79	122	300	185	372	241	102	184	86	98	99	23	108	33	39	82	73	73	131	107	100	38	85	71	58	78	62	37	27	44	54	96	324	50	19	203	43	235	105	215	88
20656_0_60_+|genomic|20656_0_60_+|peak_41|20656|0|60	15	34	68	62	73	79	24	79	29	30	20	6	20	6	9	20	31	19	48	16	32	8	41	27	32	9	7	14	6	8	12	17	45	10	2	80	11	46	27	34	16
20819_0_72_+|genomic|20819_0_72_+|peak_42|20819|0|72	272	808	2885	1965	2541	2600	594	1712	844	710	892	75	1032	78	99	124	258	107	189	108	1537	215	1576	1135	834	311	245	233	196	165	321	764	2681	329	74	3820	261	255	845	1647	575
20821_40_60_+|genomic|20821_40_60_+|peak_43|20821|40|60	8	17	6	7	51	8	3	6	4	4	17	6	6	14	13	3	4	53	26	2	7	18	0	4	6	3	2	16	10	9	17	2	29	13	15	35	17	8	3	15	1
21324_40_73_+|genomic|21324_40_73_+|peak_44|21324|40|73	26	21	22	14	25	24	12	24	4	16	8	9	33	9	13	15	35	18	32	4	8	13	6	10	11	5	9	9	11	12	10	7	47	12	12	36	13	46	2	5	4
21329_0_60_+|genomic|21329_0_60_+|peak_45|21329|0|60	43	63	114	106	106	220	32	144	31	68	36	6	76	12	12	34	45	20	37	68	158	19	82	36	56	26	30	16	26	23	13	46	132	24	9	128	18	87	53	69	46
21345_40_60_+|genomic|21345_40_60_+|peak_46|21345|40|60	0	3	4	0	0	0	0	0	1	0	12	32	1	26	36	0	1	111	66	1	1	25	1	1	1	0	0	37	26	19	33	0	1	42	26	8	35	0	1	0	0
21347_40_60_+|genomic|21347_40_60_+|peak_47|21347|40|60	0	2	6	0	1	0	0	0	2	1	15	22	1	23	26	0	0	105	57	1	0	30	1	0	0	0	0	41	32	35	28	1	3	39	27	10	24	0	1	0	0
21358_40_60_+|genomic|21358_40_60_+|peak_48|21358|40|60	0	2	6	0	2	0	0	0	0	0	20	24	0	22	28	0	0	99	77	0	1	33	1	0	1	0	0	31	30	31	29	0	2	34	30	8	31	1	1	0	0
21436_0_72_+|genomic|21436_0_72_+|peak_49|21436|0|72	277	896	3017	1940	2536	2552	580	1696	817	718	914	81	1046	89	113	127	264	110	180	92	1503	172	1588	1170	806	302	255	218	210	147	321	761	2638	301	91	3819	263	216	846	1620	589
21907_0_60_+|genomic|21907_0_60_+|peak_50|21907|0|60	26	12	37	22	9	45	7	21	26	16	118	39	16	57	64	9	17	129	187	21	28	59	22	187	3	8	16	73	47	69	77	11	182	95	54	111	64	12	6	18	21
21916_0_40_+|genomic|21916_0_40_+|peak_51|21916|0|40	7	7	6	4	39	3	3	3	6	2	18	12	3	10	21	1	14	71	57	6	2	22	0	17	6	2	3	30	19	20	29	1	31	33	18	46	15	29	2	10	2
22261_0_40_+|genomic|22261_0_40_+|peak_52|22261|0|40	14	13	16	14	42	11	7	21	16	7	37	29	3	26	40	3	20	112	71	5	17	33	6	23	11	3	3	41	40	39	51	1	90	56	28	91	51	16	6	11	6
22262_0_40_+|genomic|22262_0_40_+|peak_53|22262|0|40	16	7	17	19	39	14	7	14	20	15	44	33	8	24	37	3	20	116	77	8	15	37	10	32	15	6	5	47	34	41	40	5	97	74	32	84	50	18	9	13	7
22263_0_40_+|genomic|22263_0_40_+|peak_54|22263|0|40	17	16	20	19	38	16	8	17	15	13	37	30	3	23	36	5	22	107	75	7	23	32	6	25	12	5	6	52	38	48	44	2	84	68	24	86	45	19	9	15	8
22264_0_40_+|genomic|22264_0_40_+|peak_55|22264|0|40	20	6	17	17	46	10	4	18	18	7	38	27	3	36	31	3	20	108	70	5	14	35	4	26	12	4	2	53	32	34	47	2	78	53	38	79	42	17	9	14	8
22420_20_60_+|genomic|22420_20_60_+|peak_56|22420|20|60	7	13	26	11	7	11	28	15	2	43	10	5	15	3	8	14	16	18	31	14	9	8	12	30	9	4	10	11	8	8	10	7	74	8	4	15	8	50	7	9	10
22421_20_60_+|genomic|22421_20_60_+|peak_57|22421|20|60	1	10	1	16	8	1	11	1	1	5	14	3	9	4	3	1	5	21	27	6	5	4	7	18	1	1	3	7	3	5	8	2	23	6	5	19	5	13	5	6	2
22641_0_72_+|genomic|22641_0_72_+|peak_58|22641|0|72	119	250	240	134	675	294	76	307	68	120	93	62	119	66	67	121	179	80	211	58	160	89	66	112	82	118	117	71	93	105	82	81	245	109	59	331	85	175	42	100	72
22778_0_60_+|genomic|22778_0_60_+|peak_59|22778|0|60	31	75	97	102	107	194	28	167	34	77	30	3	63	13	19	54	57	22	39	59	167	19	94	27	43	30	42	15	18	7	23	41	129	31	8	128	23	100	54	50	47
22779_20_60_+|genomic|22779_20_60_+|peak_60|22779|20|60	23	39	16	25	26	21	27	20	5	18	12	7	5	7	7	14	14	35	58	6	5	7	7	4	14	13	10	8	5	13	10	15	54	7	5	36	11	32	11	16	3
22783_40_74_+|genomic|22783_40_74_+|peak_61|22783|40|74	16	31	59	15	29	24	38	36	3	15	15	9	14	16	8	16	16	29	37	22	12	6	8	19	11	3	11	13	8	7	7	9	48	9	9	33	7	28	7	7	12
23461_0_73_+|genomic|23461_0_73_+|peak_62|23461|0|73	28	59	36	35	13	48	7	56	18	35	63	53	36	57	77	18	55	132	86	12	20	77	8	23	10	8	4	105	49	71	83	19	98	106	39	94	89	84	13	8	9
23496_0_60_+|genomic|23496_0_60_+|peak_63|23496|0|60	10	8	14	18	219	10	4	10	6	9	29	17	7	24	34	3	11	100	75	6	6	30	9	19	1	3	9	31	23	22	19	7	41	42	26	60	29	37	8	14	3
23969_20_60_+|genomic|23969_20_60_+|peak_64|23969|20|60	20	27	8	9	33	22	8	7	11	8	38	32	4	29	44	7	6	69	63	3	3	41	4	56	5	3	5	43	35	46	41	10	36	41	33	47	39	14	4	8	4
24302_0_72_+|genomic|24302_0_72_+|peak_65|24302|0|72	275	898	2938	2014	2538	2580	590	1703	853	700	920	72	1029	92	117	117	273	91	167	87	1510	173	1625	1105	792	300	248	239	181	150	302	802	2672	289	84	3871	256	222	872	1701	583
24303_20_60_+|genomic|24303_20_60_+|peak_66|24303|20|60	8	17	19	15	17	35	8	18	5	8	2	1	12	1	4	4	6	19	14	14	26	3	16	3	7	14	8	4	1	6	3	9	202	5	3	13	8	18	11	14	6
24309_0_20_+|genomic|24309_0_20_+|peak_67|24309|0|20	0	7	18	2	4	0	3	4	0	3	21	52	1	51	56	0	1	3	9	1	6	49	13	2	4	6	3	67	58	50	60	0	11	69	50	6	52	3	2	4	4
24590_40_80_+|genomic|24590_40_80_+|peak_68|24590|40|80	17	28	18	13	7	12	17	12	2	9	6	2	20	6	8	6	16	17	12	16	18	10	9	5	4	2	3	10	10	10	5	3	31	11	7	41	6	41	2	8	7
24592_0_40_+|genomic|24592_0_40_+|peak_69|24592|0|40	24	43	16	88	31	26	29	31	9	31	44	13	13	20	22	12	26	98	249	32	31	16	16	13	13	26	15	19	21	26	30	30	164	40	20	74	36	54	22	23	22
24594_0_40_+|genomic|24594_0_40_+|peak_70|24594|0|40	22	49	20	82	36	22	22	24	8	38	31	15	21	15	19	15	22	92	233	33	22	26	13	5	9	29	19	29	17	28	32	23	160	37	17	80	29	73	27	27	26
24595_40_73_+|genomic|24595_40_73_+|peak_71|24595|40|73	5	12	4	10	55	10	8	15	1	2	15	15	6	3	16	2	6	38	28	4	5	9	1	12	5	0	1	18	11	11	21	1	24	19	6	39	13	6	3	18	2
24596_0_60_+|genomic|24596_0_60_+|peak_72|24596|0|60	10	44	15	23	13	13	5	30	8	33	36	30	16	22	41	9	25	86	63	9	11	38	7	18	5	14	5	45	23	37	34	14	77	60	30	48	47	64	14	2	8
24597_0_73_+|genomic|24597_0_73_+|peak_73|24597|0|73	28	60	40	33	13	41	9	81	19	29	70	53	34	52	66	18	52	137	81	12	16	68	8	35	11	10	2	92	67	72	90	14	93	108	67	93	89	83	12	11	8
25289_0_60_+|genomic|25289_0_60_+|peak_74|25289|0|60	13	60	25	17	35	60	9	53	9	22	16	1	24	3	4	19	40	18	15	15	62	3	21	10	16	14	13	7	9	10	7	12	213	8	3	28	14	49	3	13	10
25290_0_73_+|genomic|25290_0_73_+|peak_75|25290|0|73	88	223	316	262	143	331	89	283	74	237	168	50	129	45	54	175	230	51	79	146	343	49	144	96	112	104	182	56	68	46	65	114	268	74	46	260	77	242	82	119	59
25574_20_60_+|genomic|25574_20_60_+|peak_76|25574|20|60	18	45	23	29	74	20	20	17	13	69	36	13	10	20	33	14	23	69	101	13	19	23	10	28	9	28	16	25	21	29	28	7	84	34	19	75	23	74	18	16	17
25604_0_20_+|genomic|25604_0_20_+|peak_77|25604|0|20	1	1	0	1	3	0	1	0	1	0	0	0	1	0	3	21	42	103	281	56	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	165	0	0	0
25609_0_20_+|genomic|25609_0_20_+|peak_78|25609|0|20	2	0	0	0	2	1	0	0	1	0	0	0	1	0	3	19	40	93	282	57	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	1	1	151	0	1	0
25721_0_60_+|genomic|25721_0_60_+|peak_79|25721|0|60	30	58	77	83	73	105	20	115	20	57	28	4	55	6	15	24	27	24	20	43	119	17	61	23	37	23	29	11	19	11	18	33	118	23	8	105	22	46	34	54	26
26038_60_80_+|genomic|26038_60_80_+|peak_80|26038|60|80	15	33	22	15	10	11	22	10	2	13	7	3	17	7	10	7	14	15	11	18	16	6	8	8	8	3	4	11	8	10	8	3	32	10	9	38	3	44	1	7	9
26446_20_60_+|genomic|26446_20_60_+|peak_81|26446|20|60	0	1	8	18	1	2	0	2	0	0	1	32	3	34	42	1	5	50	3	0	0	37	0	2	0	0	1	38	31	45	34	0	2	40	31	3	40	4	2	2	0
26578_20_60_+|genomic|26578_20_60_+|peak_82|26578|20|60	21	29	11	10	34	14	5	6	12	7	33	27	8	25	29	5	11	57	59	8	2	30	1	57	5	3	6	38	32	41	39	7	32	31	21	46	25	12	3	11	3
26579_0_60_+|genomic|26579_0_60_+|peak_83|26579|0|60	20	20	40	22	13	49	5	24	28	10	129	53	16	50	57	8	19	117	193	22	26	62	24	166	4	5	11	78	53	58	75	15	192	98	57	122	67	23	6	15	16
26893_0_40_+|genomic|26893_0_40_+|peak_84|26893|0|40	5	6	3	1	16	0	2	0	5	1	6	8	1	7	19	0	5	66	37	0	1	10	0	8	3	0	1	14	11	11	15	0	30	22	12	42	19	2	2	6	0
26990_0_60_+|genomic|26990_0_60_+|peak_85|26990|0|60	15	46	81	69	214	117	17	51	24	30	81	19	38	24	25	16	34	110	114	40	74	38	41	37	26	28	36	38	25	35	38	35	70	39	23	95	42	58	19	71	33
26992_0_71_+|genomic|26992_0_71_+|peak_86|26992|0|71	70	192	123	103	103	231	90	214	60	116	63	36	126	29	57	134	252	67	100	73	267	43	128	79	77	155	202	46	81	37	49	57	172	63	36	190	72	246	46	71	89
27067_0_60_+|genomic|27067_0_60_+|peak_87|27067|0|60	47	76	85	99	104	207	21	144	24	59	39	6	65	3	14	45	45	26	29	75	165	13	96	39	56	22	37	17	18	12	16	60	136	30	10	145	22	100	50	60	44
27068_0_60_+|genomic|27068_0_60_+|peak_88|27068|0|60	34	33	25	30	55	23	31	37	12	21	28	27	11	32	40	9	37	76	91	5	12	40	10	173	16	10	14	37	31	38	35	14	126	52	26	95	39	79	19	24	9
27071_0_40_+|genomic|27071_0_40_+|peak_89|27071|0|40	8	26	67	49	46	77	15	56	23	19	16	5	10	3	4	14	24	6	30	18	40	4	33	26	24	12	4	8	6	4	7	13	43	9	4	32	3	20	18	31	12
27080_0_40_+|genomic|27080_0_40_+|peak_90|27080|0|40	40	24	40	9	287	15	7	12	30	10	67	91	13	110	124	1	12	64	54	11	12	112	11	51	12	16	9	121	119	117	115	7	40	146	102	46	111	33	5	10	5
27448_0_40_+|genomic|27448_0_40_+|peak_91|27448|0|40	16	13	17	14	34	15	9	14	15	7	41	32	5	23	38	5	23	104	85	3	17	32	6	26	15	3	2	41	41	37	52	0	82	53	23	88	53	16	7	13	10
27556_40_72_+|genomic|27556_40_72_+|peak_92|27556|40|72	7	3	17	3	12	11	2	13	2	22	4	15	6	15	25	6	3	30	6	2	4	17	4	27	11	3	5	17	18	24	10	1	12	14	11	21	21	5	2	0	1
28109_0_60_+|genomic|28109_0_60_+|peak_93|28109|0|60	31	79	65	35	789	52	24	56	28	25	74	108	42	140	182	20	42	64	68	15	23	186	19	451	18	34	25	180	168	166	160	20	137	205	148	102	171	38	16	74	11
28163_0_40_+|genomic|28163_0_40_+|peak_94|28163|0|40	21	58	54	44	25	36	23	35	21	49	23	17	20	16	21	18	19	75	61	15	20	23	17	11	14	6	9	23	18	15	21	22	124	25	21	58	28	55	20	41	26
28494_0_60_+|genomic|28494_0_60_+|peak_95|28494|0|60	7	22	25	12	14	7	3	13	10	8	54	43	0	47	59	0	13	89	56	1	3	57	2	45	5	2	2	64	45	52	59	3	69	61	39	34	57	19	5	6	1
28524_20_60_+|genomic|28524_20_60_+|peak_96|28524|20|60	6	20	16	15	26	12	7	17	9	8	13	5	23	8	10	8	10	17	31	2	15	10	6	1	3	9	1	10	6	12	7	4	55	7	2	37	16	21	7	11	9
28525_20_60_+|genomic|28525_20_60_+|peak_97|28525|20|60	26	19	17	21	31	17	33	29	3	20	16	10	6	9	12	12	11	33	69	3	6	5	7	8	16	15	11	11	7	11	12	15	50	12	10	37	10	37	12	16	5
28529_20_60_+|genomic|28529_20_60_+|peak_98|28529|20|60	2	7	2	7	10	3	15	6	2	5	20	2	16	5	4	3	5	20	27	6	7	7	6	13	2	4	0	5	5	8	5	1	16	5	5	21	6	13	4	6	0
28612_0_71_+|genomic|28612_0_71_+|peak_99|28612|0|71	68	216	129	116	108	217	73	208	71	126	56	30	125	31	56	122	230	61	93	82	259	49	121	76	80	167	202	39	68	38	47	63	182	47	46	176	72	227	46	72	81
28783_0_40_+|genomic|28783_0_40_+|peak_100|28783|0|40	22	31	16	27	31	35	8	11	10	20	21	18	27	21	34	3	8	36	24	1	18	30	13	12	16	8	12	25	22	20	28	8	64	34	23	67	34	10	6	14	5
28809_40_60_+|genomic|28809_40_60_+|peak_101|28809|40|60	11	12	8	7	4	11	5	2	2	2	6	8	16	5	10	4	19	26	26	6	8	11	9	3	2	6	1	11	13	8	11	4	18	10	9	25	10	30	2	2	5
28963_0_72_+|genomic|28963_0_72_+|peak_102|28963|0|72	123	275	258	141	669	316	68	314	67	117	97	56	106	65	76	108	157	82	205	55	160	73	66	120	79	117	120	82	60	86	78	88	251	93	56	320	91	179	38	104	80
29255_20_40_+|genomic|29255_20_40_+|peak_103|29255|20|40	6	28	4	15	7	5	10	8	2	8	7	9	23	7	15	2	21	14	22	11	12	6	9	7	8	9	4	9	12	13	13	10	56	12	8	36	13	30	9	12	7
30032_0_72_+|genomic|30032_0_72_+|peak_104|30032|0|72	389	1373	3298	2237	2720	3042	593	1953	889	773	963	87	1352	86	121	177	347	98	182	98	1599	249	1679	1237	942	337	228	244	191	195	357	835	2807	325	99	3915	312	293	870	1629	636
30129_0_71_+|genomic|30129_0_71_+|peak_105|30129|0|71	83	219	526	370	911	784	125	372	240	191	244	59	252	49	55	169	152	131	155	222	536	55	419	196	208	369	280	65	84	90	79	188	394	106	46	331	77	347	293	434	199
30789_0_40_+|genomic|30789_0_40_+|peak_106|30789|0|40	39	52	86	33	93	66	37	48	18	36	58	80	35	79	106	30	49	114	80	13	23	92	10	72	22	21	29	111	77	96	106	17	147	120	82	159	106	54	11	18	29
30799_40_73_+|genomic|30799_40_73_+|peak_107|30799|40|73	5	6	19	19	13	9	11	18	4	13	17	4	19	5	2	6	3	3	4	4	19	2	2	5	13	6	3	8	5	4	7	13	59	12	8	22	8	11	12	12	2
30946_0_40_+|genomic|30946_0_40_+|peak_108|30946|0|40	21	73	41	43	30	36	20	30	25	53	22	12	23	16	18	13	28	75	46	9	18	24	18	10	14	4	14	28	18	15	39	21	110	32	18	53	24	56	18	43	43
30956_40_60_+|genomic|30956_40_60_+|peak_109|30956|40|60	8	19	6	9	57	9	7	34	1	8	14	5	4	6	8	5	2	18	21	6	1	6	4	2	3	1	5	9	3	8	13	0	23	10	6	32	14	28	5	12	0
30959_40_60_+|genomic|30959_40_60_+|peak_110|30959|40|60	0	1	7	1	3	2	1	0	2	1	25	29	2	28	46	2	0	61	36	2	1	36	3	1	1	0	0	58	31	32	41	1	0	67	29	8	40	0	1	0	0
30960_0_40_+|genomic|30960_0_40_+|peak_111|30960|0|40	22	51	25	90	39	24	28	26	11	32	43	11	24	12	14	13	27	91	219	48	26	17	5	7	11	28	22	30	15	34	23	30	162	33	18	87	31	53	29	24	32
