feature	csFTC-2_1	csFTC-3_1	csFTC-4_1	csFTC-5_1	csFTC-6_1	csFTC-7_1	csFTC-8_1	csFTC-10_1	csFTC-11_1	csFTC-13_1	csFTC-14_1	csFTC-15_1	csFTC-20_1	csFTC-1_1	csFTC-16_1	csFTC-17_1	csFTC-18_1	csFTC-19_1	csFTC-21_1	csFTC-22_1	csFTA-1_1	csFTA-2_1	csFTA-3_1	csFTA-4_1	csFTA-6_1	csFTA-10_1	csFTA-11_1	csFTA-12_1	csFTA-13_1	csFTA-15_1	csFTA-16_1	csFTA-17_1	csFTA-18_1	csFTA-9_1	csFTA-20_1	csFTA-23_1	csFTA-24_1
20137_0_40_+|genomic|20137_0_40_+|peak_27|20137|0|40	22	17	47	14	6	8	42	39	7	6	7	3	10	3	9	6	4	2	1	1	12	9	10	9	21	47	2	9	35	52	3	6	5	17	13	4	12
20271_0_40_+|genomic|20271_0_40_+|peak_28|20271|0|40	57	46	86	11	3	10	36	38	22	23	29	29	4	26	20	28	32	16	14	26	4	14	20	15	15	43	2	7	57	54	18	33	56	43	54	42	25
20274_0_71_+|genomic|20274_0_71_+|peak_29|20274|0|71	124	84	200	68	74	373	92	97	193	20	31	41	81	11	34	168	62	11	4	8	55	65	174	149	91	103	174	116	124	104	21	25	15	70	37	15	29
20276_0_40_+|genomic|20276_0_40_+|peak_30|20276|0|40	27	15	42	8	5	8	35	31	7	5	7	9	10	4	7	5	2	6	1	1	11	5	9	7	25	36	2	8	38	44	5	2	6	19	16	5	10
20279_20_60_+|genomic|20279_20_60_+|peak_31|20279|20|60	52	9	22	9	10	17	9	7	17	6	5	5	1	2	2	10	13	2	3	3	4	5	9	14	8	15	7	2	14	5	0	0	6	4	4	3	3
20284_0_72_+|genomic|20284_0_72_+|peak_32|20284|0|72	125	77	196	90	90	231	146	144	64	24	25	37	95	19	21	114	57	20	18	15	48	57	83	55	160	137	135	116	196	213	23	23	41	61	50	30	27
20287_0_40_+|genomic|20287_0_40_+|peak_33|20287|0|40	9	19	8	45	0	3	33	38	6	6	8	0	3	1	0	22	6	3	1	0	0	4	0	3	2	37	0	0	32	42	7	3	4	2	6	2	22
20287_60_80_+|genomic|20287_60_80_+|peak_34|20287|60|80	8	4	18	5	6	8	4	8	8	5	9	6	0	8	2	4	11	2	1	5	5	2	1	5	5	8	5	3	5	7	5	5	15	11	10	6	7
20561_20_60_+|genomic|20561_20_60_+|peak_35|20561|20|60	23	20	15	7	0	7	57	58	7	13	10	17	0	4	3	39	4	6	7	12	1	3	4	3	7	65	3	4	81	80	15	5	9	9	8	8	25
20645_40_71_+|genomic|20645_40_71_+|peak_36|20645|40|71	54	32	17	18	4	13	17	8	55	32	37	91	5	27	11	30	28	34	26	49	11	30	18	13	28	11	7	1	16	15	31	51	50	71	65	36	23
20647_0_71_+|genomic|20647_0_71_+|peak_37|20647|0|71	150	79	108	32	25	46	47	45	94	62	103	120	32	63	42	85	45	50	35	71	26	72	54	53	33	51	48	21	63	62	57	92	155	214	163	72	42
20648_0_40_+|genomic|20648_0_40_+|peak_38|20648|0|40	14	10	22	9	2	20	14	6	12	3	3	4	8	1	3	9	9	1	1	0	7	9	16	9	13	8	28	17	15	16	1	3	2	9	5	3	0
20653_0_71_+|genomic|20653_0_71_+|peak_39|20653|0|71	75	46	62	27	7	18	39	34	77	90	88	143	6	53	40	58	59	78	32	76	27	43	20	24	30	34	7	2	36	31	93	115	109	135	136	96	78
20655_0_71_+|genomic|20655_0_71_+|peak_40|20655|0|71	147	76	117	39	21	42	55	47	97	66	113	120	25	63	58	77	60	50	39	67	31	72	59	59	30	51	47	20	65	52	58	97	153	213	174	77	51
20656_0_60_+|genomic|20656_0_60_+|peak_41|20656|0|60	18	14	39	24	17	34	13	18	11	2	0	4	9	4	3	21	10	1	0	3	9	10	24	16	21	17	25	23	23	18	3	6	7	15	5	2	6
20819_0_72_+|genomic|20819_0_72_+|peak_42|20819|0|72	128	446	874	199	70	1146	452	485	317	58	95	145	298	15	47	229	94	15	2	22	155	321	481	556	326	373	520	697	154	671	19	54	23	138	37	59	41
20821_40_60_+|genomic|20821_40_60_+|peak_43|20821|40|60	12	14	12	51	0	10	19	12	3	1	1	0	4	2	0	20	2	1	2	0	1	1	0	1	4	26	1	1	20	32	2	2	1	2	3	0	1
21324_40_73_+|genomic|21324_40_73_+|peak_44|21324|40|73	29	18	16	8	5	17	16	14	87	108	68	154	1	27	13	31	14	30	43	80	9	8	13	18	24	13	13	7	19	14	42	55	50	70	52	32	29
21329_0_60_+|genomic|21329_0_60_+|peak_45|21329|0|60	36	59	104	25	79	362	31	26	113	21	44	24	44	4	3	66	29	6	5	3	29	57	99	77	109	29	115	92	20	22	5	15	6	57	8	8	8
21345_40_60_+|genomic|21345_40_60_+|peak_46|21345|40|60	0	10	4	0	0	0	47	42	0	0	0	0	1	0	2	5	0	0	1	0	2	1	3	1	0	54	0	0	68	41	2	3	0	0	0	1	7
21347_40_60_+|genomic|21347_40_60_+|peak_47|21347|40|60	1	8	1	4	0	0	33	38	0	0	0	0	1	0	2	1	0	0	0	0	0	1	3	1	0	47	0	0	81	34	4	2	0	0	0	0	8
21358_40_60_+|genomic|21358_40_60_+|peak_48|21358|40|60	2	11	1	3	0	0	43	34	1	0	0	0	1	0	2	1	0	0	0	0	2	1	1	1	0	51	0	0	69	37	0	4	0	1	0	1	11
21436_0_72_+|genomic|21436_0_72_+|peak_49|21436|0|72	138	444	900	213	64	1129	407	481	311	66	77	135	313	19	55	222	84	16	2	16	162	353	492	564	323	373	514	696	165	700	18	41	42	132	37	58	31
21907_0_60_+|genomic|21907_0_60_+|peak_50|21907|0|60	66	76	22	14	9	68	99	92	15	5	7	6	11	5	11	23	140	4	0	5	13	17	28	15	14	101	12	11	108	118	18	3	3	10	16	7	33
21916_0_40_+|genomic|21916_0_40_+|peak_51|21916|0|40	12	9	7	7	1	4	34	27	1	0	2	0	1	0	0	5	0	1	0	0	1	2	1	0	1	30	2	1	32	37	1	1	0	1	0	0	3
22261_0_40_+|genomic|22261_0_40_+|peak_52|22261|0|40	26	16	13	16	0	6	62	54	6	1	2	2	1	0	1	17	6	0	1	2	1	4	6	7	2	69	2	4	84	88	4	0	4	5	2	2	12
22262_0_40_+|genomic|22262_0_40_+|peak_53|22262|0|40	26	20	11	14	0	9	63	72	4	3	1	1	1	2	1	17	10	0	2	1	3	3	10	5	3	70	2	4	85	62	4	2	1	4	3	3	9
22263_0_40_+|genomic|22263_0_40_+|peak_54|22263|0|40	34	22	7	15	0	8	58	66	6	0	3	2	2	0	1	19	17	3	2	3	1	6	9	7	2	58	2	4	106	83	7	1	4	3	5	2	9
22264_0_40_+|genomic|22264_0_40_+|peak_55|22264|0|40	24	16	11	11	0	4	64	62	2	1	3	1	4	1	1	19	3	1	1	2	2	1	7	3	1	71	2	5	84	68	9	1	4	0	4	0	8
22420_20_60_+|genomic|22420_20_60_+|peak_56|22420|20|60	45	11	14	9	3	10	10	10	2	1	1	3	6	0	2	5	8	3	0	1	2	2	8	1	8	8	3	3	16	16	3	4	1	3	3	1	2
22421_20_60_+|genomic|22421_20_60_+|peak_57|22421|20|60	3	10	12	2	8	15	8	4	2	2	1	3	8	1	1	7	11	1	0	2	1	1	3	3	18	7	6	7	12	5	1	3	2	7	1	2	2
22641_0_72_+|genomic|22641_0_72_+|peak_58|22641|0|72	164	74	103	303	27	138	101	106	112	37	80	59	16	27	16	360	96	20	9	26	47	59	73	58	149	101	44	48	82	190	37	31	65	101	85	31	40
22778_0_60_+|genomic|22778_0_60_+|peak_59|22778|0|60	30	59	87	22	83	367	24	27	119	19	45	32	38	3	2	99	29	7	3	7	37	41	93	73	106	24	124	86	19	28	7	12	4	60	12	12	10
22779_20_60_+|genomic|22779_20_60_+|peak_60|22779|20|60	31	20	28	10	7	3	17	10	42	18	61	38	3	27	25	14	19	16	11	14	12	21	8	18	5	20	2	1	16	17	39	24	87	112	66	29	24
22783_40_74_+|genomic|22783_40_74_+|peak_61|22783|40|74	43	24	11	11	6	15	16	7	64	55	63	127	10	53	7	24	40	33	35	55	5	13	18	6	17	14	6	4	12	13	29	51	78	38	69	45	26
23461_0_73_+|genomic|23461_0_73_+|peak_62|23461|0|73	34	38	37	9	14	86	106	97	8	6	10	6	9	0	4	16	5	3	2	1	16	14	13	18	73	109	21	18	129	125	25	8	1	7	10	3	24
23496_0_60_+|genomic|23496_0_60_+|peak_63|23496|0|60	49	14	28	28	7	9	42	45	19	4	10	7	5	4	4	24	19	2	3	5	3	8	7	3	7	48	6	3	59	45	7	10	14	22	18	8	11
23969_20_60_+|genomic|23969_20_60_+|peak_64|23969|20|60	16	27	13	29	2	4	51	46	13	12	10	7	2	5	0	44	10	7	7	6	2	8	7	5	6	52	5	7	55	69	11	21	4	5	13	6	23
24302_0_72_+|genomic|24302_0_72_+|peak_65|24302|0|72	129	444	890	212	73	1165	405	461	358	57	68	139	305	18	46	226	84	18	4	13	175	344	476	546	326	376	506	696	161	727	25	44	41	128	44	60	34
24303_20_60_+|genomic|24303_20_60_+|peak_66|24303|20|60	49	11	16	5	10	19	8	6	11	2	2	6	2	0	1	4	20	2	1	0	4	6	3	8	6	7	13	8	12	8	1	0	4	3	4	1	3
24309_0_20_+|genomic|24309_0_20_+|peak_67|24309|0|20	0	16	5	1	0	0	69	65	2	0	1	1	2	1	1	0	1	0	0	1	15	0	1	0	4	78	1	4	2	60	5	3	2	4	7	4	51
24590_40_80_+|genomic|24590_40_80_+|peak_68|24590|40|80	12	3	18	1	8	26	12	10	0	5	5	4	4	2	1	5	5	8	3	4	4	2	4	3	11	10	4	4	15	10	2	1	1	4	5	5	3
24592_0_40_+|genomic|24592_0_40_+|peak_69|24592|0|40	56	34	75	6	3	4	39	43	27	23	23	17	5	30	18	20	41	21	14	18	4	15	17	15	11	48	0	7	70	44	24	35	54	63	53	38	27
24594_0_40_+|genomic|24594_0_40_+|peak_70|24594|0|40	65	35	87	9	3	8	39	38	24	22	23	20	4	25	14	19	44	20	10	28	4	17	17	11	17	48	0	2	55	53	18	27	62	57	53	39	24
24595_40_73_+|genomic|24595_40_73_+|peak_71|24595|40|73	8	14	9	45	0	8	22	21	3	1	0	3	4	0	0	24	0	1	1	1	0	2	1	2	3	29	1	3	24	27	2	0	3	3	0	0	4
24596_0_60_+|genomic|24596_0_60_+|peak_72|24596|0|60	20	10	21	6	12	49	48	52	5	2	8	3	8	2	3	6	2	1	9	2	2	7	4	5	49	56	18	14	59	61	9	4	2	1	6	2	5
24597_0_73_+|genomic|24597_0_73_+|peak_73|24597|0|73	36	38	38	12	13	95	112	108	12	5	9	5	11	4	4	17	5	2	0	3	16	16	10	23	65	109	24	17	131	135	24	8	5	8	14	2	16
25289_0_60_+|genomic|25289_0_60_+|peak_74|25289|0|60	51	8	17	8	17	33	10	11	29	12	12	17	4	4	1	19	25	5	0	1	11	11	17	20	21	10	11	14	15	8	4	9	6	9	4	2	1
25290_0_73_+|genomic|25290_0_73_+|peak_75|25290|0|73	162	145	202	75	105	393	84	86	344	76	156	178	62	66	22	186	49	63	51	64	95	83	270	151	233	86	113	177	93	93	49	84	107	110	126	61	47
25574_20_60_+|genomic|25574_20_60_+|peak_76|25574|20|60	45	13	35	11	16	33	33	29	7	3	8	10	23	4	4	16	12	5	11	4	6	3	7	3	42	29	22	28	47	41	3	9	7	4	11	3	6
25604_0_20_+|genomic|25604_0_20_+|peak_77|25604|0|20	91	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	49	0	0	0	0	1	1	1	2	0	91	0	0	0	1	0	0	0	0
25609_0_20_+|genomic|25609_0_20_+|peak_78|25609|0|20	92	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	1	0	1	1	95	2	0	0	0	1	0	0	0
25721_0_60_+|genomic|25721_0_60_+|peak_79|25721|0|60	18	35	57	14	36	231	14	20	60	17	19	16	25	5	4	42	15	1	3	3	21	42	60	38	55	22	51	67	18	22	8	7	8	39	7	6	6
26038_60_80_+|genomic|26038_60_80_+|peak_80|26038|60|80	16	5	14	2	9	27	13	11	2	3	6	2	6	3	1	2	2	5	2	3	5	1	7	2	10	14	2	6	12	11	2	1	2	7	4	4	1
26446_20_60_+|genomic|26446_20_60_+|peak_81|26446|20|60	4	3	1	2	9	6	44	40	1	2	1	1	4	0	0	0	1	0	2	1	2	1	1	0	4	39	5	3	48	40	1	0	1	2	1	0	1
26578_20_60_+|genomic|26578_20_60_+|peak_82|26578|20|60	7	20	12	31	1	4	36	40	13	6	10	6	1	3	0	50	4	10	10	6	1	4	5	4	5	42	7	5	51	57	12	18	7	4	7	6	11
26579_0_60_+|genomic|26579_0_60_+|peak_83|26579|0|60	77	82	28	21	8	56	91	101	11	8	7	6	10	7	12	31	119	6	1	2	18	11	25	15	12	106	17	10	113	130	23	4	2	9	10	2	34
26893_0_40_+|genomic|26893_0_40_+|peak_84|26893|0|40	6	6	7	11	0	1	25	22	1	0	0	0	1	0	0	3	0	0	2	1	0	0	2	0	1	24	0	0	33	28	2	0	0	1	1	0	3
26990_0_60_+|genomic|26990_0_60_+|peak_85|26990|0|60	33	49	64	49	21	135	48	47	53	3	13	17	12	6	9	49	28	4	0	1	12	24	31	20	28	49	26	31	64	65	4	8	10	19	16	3	22
26992_0_71_+|genomic|26992_0_71_+|peak_86|26992|0|71	112	54	163	31	36	218	72	68	256	26	99	84	20	14	26	270	59	10	7	16	108	69	171	186	66	58	71	68	81	56	10	21	25	51	98	20	25
27067_0_60_+|genomic|27067_0_60_+|peak_87|27067|0|60	35	56	80	31	80	341	20	30	101	22	31	29	42	1	3	60	37	5	8	9	31	49	91	66	111	23	123	86	19	33	3	9	6	65	9	9	6
27068_0_60_+|genomic|27068_0_60_+|peak_88|27068|0|60	106	33	54	25	10	3	53	46	47	21	50	32	6	38	24	24	17	16	126	12	20	20	7	15	6	60	6	1	63	59	28	32	80	134	81	36	25
27071_0_40_+|genomic|27071_0_40_+|peak_89|27071|0|40	10	10	22	7	3	22	10	12	3	1	1	1	6	0	3	7	8	0	0	1	8	10	13	7	13	8	22	24	14	11	3	0	1	14	2	4	0
27080_0_40_+|genomic|27080_0_40_+|peak_90|27080|0|40	13	44	13	43	0	7	141	123	12	10	5	11	1	4	4	30	44	4	1	3	0	4	4	4	2	139	3	4	52	144	25	14	9	8	9	4	46
27448_0_40_+|genomic|27448_0_40_+|peak_91|27448|0|40	30	24	10	12	0	6	62	72	8	1	3	2	2	2	1	12	9	0	1	0	5	5	10	5	2	67	3	4	90	82	7	4	2	7	2	2	12
27556_40_72_+|genomic|27556_40_72_+|peak_92|27556|40|72	6	4	7	12	2	3	29	20	12	3	1	5	2	3	2	6	8	3	8	1	7	3	1	7	3	27	0	0	23	32	22	1	3	6	15	4	2
28109_0_60_+|genomic|28109_0_60_+|peak_93|28109|0|60	44	58	34	243	3	53	198	187	16	18	22	12	7	8	10	211	22	9	6	3	8	20	11	8	33	212	10	17	48	328	33	13	7	20	13	5	46
28163_0_40_+|genomic|28163_0_40_+|peak_94|28163|0|40	25	15	47	9	3	10	43	30	6	2	7	10	10	0	9	6	5	7	1	1	13	9	8	5	21	35	1	8	35	35	4	8	3	23	12	7	12
28494_0_60_+|genomic|28494_0_60_+|peak_95|28494|0|60	21	23	14	18	6	16	73	75	1	2	1	0	2	1	1	51	0	1	20	0	2	2	2	2	20	73	11	4	81	86	19	2	2	1	4	2	23
28524_20_60_+|genomic|28524_20_60_+|peak_96|28524|20|60	17	3	12	2	7	15	11	9	4	5	2	5	6	3	2	3	10	0	2	1	5	3	5	0	5	9	3	4	6	13	1	1	2	6	6	2	2
28525_20_60_+|genomic|28525_20_60_+|peak_97|28525|20|60	35	20	28	16	5	2	18	8	33	23	56	34	4	36	23	11	16	12	6	16	17	24	10	10	6	13	2	1	22	18	32	24	75	124	56	35	23
28529_20_60_+|genomic|28529_20_60_+|peak_98|28529|20|60	9	6	11	0	8	17	14	3	3	2	1	1	8	0	0	5	3	1	0	0	1	3	2	0	17	5	7	6	12	5	1	5	0	2	2	1	4
28612_0_71_+|genomic|28612_0_71_+|peak_99|28612|0|71	91	47	160	35	34	226	71	61	260	32	102	85	18	24	20	271	53	9	3	14	121	65	169	176	65	55	68	62	69	63	20	23	35	56	90	14	25
28783_0_40_+|genomic|28783_0_40_+|peak_100|28783|0|40	7	13	20	12	4	17	39	37	4	3	7	4	11	4	0	12	8	5	1	8	4	5	5	2	25	46	2	4	20	39	7	3	8	9	14	4	8
28809_40_60_+|genomic|28809_40_60_+|peak_101|28809|40|60	10	2	8	1	3	11	14	13	0	2	4	1	1	0	0	1	0	1	1	1	2	2	2	0	15	18	3	6	27	13	0	3	3	3	4	1	1
28963_0_72_+|genomic|28963_0_72_+|peak_102|28963|0|72	174	71	93	317	27	137	91	98	106	41	84	69	16	26	17	394	82	30	11	17	49	62	77	46	146	103	42	52	97	166	30	21	74	110	81	31	49
29255_20_40_+|genomic|29255_20_40_+|peak_103|29255|20|40	18	2	17	4	1	1	14	11	4	2	11	5	1	6	4	5	12	13	3	6	1	3	4	4	3	15	1	0	15	17	5	15	16	18	24	8	12
30032_0_72_+|genomic|30032_0_72_+|peak_104|30032|0|72	179	528	945	233	89	1455	459	526	403	100	137	165	317	19	50	270	94	20	5	22	237	416	545	607	481	424	516	745	189	830	16	50	46	159	51	66	34
30129_0_71_+|genomic|30129_0_71_+|peak_105|30129|0|71	111	97	203	80	78	386	96	89	198	25	35	51	76	9	50	195	68	13	5	6	36	57	162	154	103	93	172	105	116	123	17	21	19	58	23	10	33
30789_0_40_+|genomic|30789_0_40_+|peak_106|30789|0|40	112	69	50	36	6	38	135	136	51	29	58	68	8	31	8	60	41	31	26	67	20	12	13	4	38	132	9	12	95	144	37	47	42	28	56	45	67
30799_40_73_+|genomic|30799_40_73_+|peak_107|30799|40|73	8	14	15	9	0	6	9	6	16	21	12	20	0	6	8	11	11	13	1	3	9	4	2	13	2	12	0	2	2	9	10	23	12	39	12	14	8
30946_0_40_+|genomic|30946_0_40_+|peak_108|30946|0|40	16	13	44	16	2	9	45	38	4	6	8	6	9	2	5	5	3	4	0	4	12	3	3	8	24	41	1	9	33	39	3	9	4	19	6	8	9
30956_40_60_+|genomic|30956_40_60_+|peak_109|30956|40|60	14	12	10	47	0	13	16	7	8	3	3	2	3	0	0	15	1	0	1	0	0	1	5	4	5	14	0	1	17	26	7	1	1	2	4	0	3
30959_40_60_+|genomic|30959_40_60_+|peak_110|30959|40|60	3	13	6	4	0	0	65	46	1	2	0	0	1	0	2	1	0	1	0	2	3	2	1	1	0	57	0	0	41	49	0	3	0	0	1	0	16
30960_0_40_+|genomic|30960_0_40_+|peak_111|30960|0|40	63	37	77	11	3	5	37	46	42	18	43	26	5	21	18	23	22	25	10	28	8	16	17	15	14	38	2	5	64	49	24	38	57	60	57	35	22
30961_40_60_+|genomic|30961_40_60_+|peak_112|30961|40|60	3	13	3	4	0	0	50	55	2	0	0	1	1	0	4	2	0	1	1	2	2	1	1	1	0	63	0	0	35	50	1	5	0	0	1	2	18
30969_0_20_+|genomic|30969_0_20_+|peak_113|30969|0|20	71	23	53	21	5	0	28	36	43	43	88	55	0	37	8	42	67	63	18	49	22	18	10	20	7	35	5	3	43	31	63	56	118	118	109	71	63
30970_0_20_+|genomic|30970_0_20_+|peak_114|30970|0|20	20	85	16	8	1	7	4	4	14	15	39	10	0	10	0	9	5	11	51	10	3	10	5	3	4	6	1	2	7	7	14	10	19	32	23	23	17
30973_40_60_+|genomic|30973_40_60_+|peak_115|30973|40|60	9	15	6	47	0	9	19	19	1	0	0	1	4	1	1	17	2	1	3	2	0	2	0	0	4	21	0	1	25	33	2	1	0	1	0	2	5
30985_40_60_+|genomic|30985_40_60_+|peak_116|30985|40|60	5	3	8	3	1	2	21	13	0	1	1	1	1	0	0	3	18	0	0	1	0	2	1	0	8	13	1	1	18	12	0	2	1	2	1	1	3
30987_0_40_+|genomic|30987_0_40_+|peak_117|30987|0|40	22	18	45	15	3	8	38	38	11	7	3	4	8	3	10	6	1	4	1	3	10	6	5	2	26	43	1	6	36	38	6	8	6	18	12	4	11
30990_0_20_+|genomic|30990_0_20_+|peak_118|30990|0|20	1	62	9	78	0	2	181	173	19	4	6	1	1	1	6	77	13	0	4	1	4	2	3	1	3	191	1	0	6	209	22	6	2	1	7	2	87
31483_0_72_+|genomic|31483_0_72_+|peak_119|31483|0|72	113	86	196	91	83	220	151	132	71	23	33	38	93	17	25	95	63	17	21	16	36	59	73	49	142	164	134	135	185	209	31	20	61	48	53	29	30
31484_40_73_+|genomic|31484_40_73_+|peak_120|31484|40|73	12	15	7	51	1	10	28	20	1	0	1	1	5	0	0	23	2	1	0	2	0	1	1	2	5	17	0	2	24	35	2	2	0	3	2	0	4
